Order_ID,Date,Product_Line,Channel,Region,Units_Sold,Unit_Price,Total_Revenue,Profit
1001,2024-03-29,Groceries,Retail,East,89,22836,2032404,459551.99
1002,2024-12-22,Beauty,Retail,East,388,19698,7642824,972029.7
1003,2024-04-28,Groceries,Retail,Central,130,8357,1086410,207009.26
1004,2025-02-20,Groceries,Mobile App,South,247,34325,8478275,2104452.38
1005,2024-11-09,Fashion,Mobile App,North,392,27724,10867808,1176274.19
1006,2024-11-30,Toys,Retail,East,290,47152,13674080,829702.1
1007,2024-04-29,Electronics,Online,North,28,40050,1121400,84307.38
1008,2024-08-07,Beauty,Retail,West,55,24462,1345410,152011.2
1009,2024-08-24,Groceries,Mobile App,South,253,34091,8625023,1493681.66
1010,2025-04-26,Sports,Mobile App,North,207,40218,8325126,1305564.01
1011,2025-02-17,Fashion,Mobile App,North,356,2021,719476,161711.76
1012,2024-05-22,Groceries,Retail,South,280,5059,1416520,162106.77
1013,2024-04-02,Toys,Retail,East,335,16938,5674230,550957.32
1014,2024-03-04,Beauty,Retail,North,303,28935,8767305,583501.97
1015,2025-07-23,Sports,Online,East,493,24444,12050892,1649357.41
1016,2024-02-28,Fashion,Mobile App,South,282,44775,12626550,2039666.75
1017,2025-01-16,Toys,Retail,West,72,47850,3445200,347777.65
1018,2025-02-26,Groceries,Mobile App,South,55,31244,1718420,181578.04
1019,2024-06-08,Groceries,Mobile App,North,47,27850,1308950,168096.11
1020,2024-05-27,Electronics,Mobile App,West,27,28695,774765,116882.89
1021,2025-02-09,Furniture,Retail,Central,70,45146,3160220,489744.37
1022,2024-02-17,Sports,Online,South,496,42398,21029408,4815541.78
1023,2024-04-12,Fashion,Online,South,232,29057,6741224,1501805.45
1024,2024-05-11,Groceries,Mobile App,Central,224,9116,2041984,186726.44
1025,2025-07-25,Beauty,Retail,West,208,7097,1476176,272878.66
1026,2025-04-20,Electronics,Mobile App,Central,373,2391,891843,183448.51
1027,2025-04-23,Groceries,Retail,West,450,30455,13704750,2984915.42
1028,2025-01-28,Fashion,Online,East,351,3355,1177605,255647.0
1029,2024-07-22,Groceries,Retail,West,360,29706,10694160,1388121.87
1030,2024-01-16,Sports,Online,South,73,34197,2496381,522030.74
1031,2024-06-08,Sports,Online,North,294,12851,3778194,659052.96
1032,2024-10-13,Electronics,Mobile App,Central,165,12065,1990725,425622.22
1033,2025-08-17,Sports,Mobile App,East,168,6250,1050000,195856.56
1034,2025-03-19,Toys,Retail,East,35,26959,943565,205233.89
1035,2024-07-31,Toys,Retail,South,198,23336,4620528,672556.42
1036,2025-03-30,Sports,Online,North,13,20826,270738,58768.13
1037,2024-04-29,Furniture,Online,South,263,5098,1340774,110914.26
1038,2024-01-12,Beauty,Mobile App,East,132,8114,1071048,247852.06
1039,2024-07-12,Groceries,Retail,East,415,23321,9678215,2084265.76
1040,2025-06-26,Furniture,Online,East,447,44023,19678281,3614960.16
1041,2024-08-02,Furniture,Mobile App,East,126,5813,732438,63682.54
1042,2024-09-08,Beauty,Online,North,239,3732,891948,103307.82
1043,2024-08-13,Electronics,Mobile App,Central,209,29846,6237814,1378191.66
1044,2024-05-28,Electronics,Online,East,188,25510,4795880,527543.59
1045,2025-01-27,Fashion,Retail,East,464,25369,11771216,2625310.26
1046,2025-02-28,Beauty,Online,North,110,46776,5145360,890703.74
1047,2024-04-01,Sports,Online,North,110,21636,2379960,144654.26
1048,2024-10-12,Groceries,Mobile App,North,400,2877,1150800,159573.57
1049,2024-08-16,Beauty,Retail,East,484,989,478676,109127.19
1050,2024-09-14,Electronics,Retail,North,245,389,95305,20376.28
1051,2025-07-29,Groceries,Online,South,360,9180,3304800,208621.68
1052,2024-05-16,Electronics,Mobile App,South,230,26916,6190680,569830.46
1053,2024-08-28,Beauty,Mobile App,West,88,12348,1086624,231523.21
1054,2024-05-19,Groceries,Retail,South,172,21377,3676844,485016.99
1055,2024-06-14,Groceries,Mobile App,South,439,26499,11633061,895365.37
1056,2024-12-04,Furniture,Online,North,236,22399,5286164,293251.44
1057,2024-04-20,Toys,Mobile App,West,184,19390,3567760,628002.92
